char_id,char_hanzi,pinyin,meaning,hsk_level
1,的,de,"possessive, adjectival suffix",1
2,一,yī,"one; a, an; alone",1
3,是,shì,"indeed, yes, right; to be; demonstrative pronoun, this, that",1
4,不,bù,"no, not; un-; negative prefix",1
5,了,le,to finish; particle of completed action,1
6,在,zài,"be at, in, on; consist in, rest",1
7,人,rén,man; people; mankind; someone else,1
8,有,yǒu,"have, own, possess; exist",1
9,我,wǒ,"our, us, i, me, my, we",1
10,他,tā,"other, another; he, she, it",1
11,这,zhè,"this, the, here",1
12,个,gè,"numerary adjunct, piece; single",1
13,们,men,adjunct pronoun indicate plural,1
14,中,zhōng,"central; center, middle; in the midst of; hit (target); attain",1
15,来,lái,"come, coming; return, returning",1
16,上,shàng,"top; superior, highest; go up, send up",1
17,大,dà,"big, great, vast, large, high",1
18,和,hé,"harmony, peace; peaceful, calm",1
19,国,guó,"nation, country, nation-state",1
20,地,de,"earth; soil, ground; region",1
21,到,dào,"go to, arrive, been to",1
22,说,shuō,"speak, say, talk; scold, upbraid",1
23,时,shí,"time, season; era, age, period",1
24,要,yào,"necessary, essential; necessity",1
25,就,jiù,"just, simply; to come, go to; to approach, near",1
26,出,chū,"go out, send out; stand; produce",1
27,会,huì,"assemble, meet together; meeting",1
28,也,yě,also; classical final particle of strong affirmation or identity,1
29,你,nǐ,"you, second person pronoun",1
30,对,duì,"correct, right; facing, opposed",1
31,生,shēng,"life, living, lifetime; birth",1
32,能,néng,"to be able; can, permitted to; ability",1
33,子,zi,"offspring, child; fruit, seed of; 1st terrestrial branch",1
34,那,nà,"that, that one, those",1
35,得,dé,"obtain, get, gain, acquire",1
36,着,zhe,"make move, take action",1
37,下,xià,"under, underneath, below; down; inferior; bring down",1
38,年,nián,year,1
39,过,guò,"pass, pass through, go across",1
40,后,hòu,"queen, empress, sovereign; (simp. for後) behind, rear, after",1
41,作,zuò,"make; work; compose, write; act, perform",1
42,里,lǐ,unit of distance; village; lane,1
43,用,yòng,"use, employ, apply, operate; use",1
44,道,dào,"path, road, street; method, way",1
45,行,xíng,"go; walk; move, travel; circulate",1
46,家,jiā,"house, home, residence; family",1
