parent_id,child_id
2561,2049
2126,2049
5007,2051
2595,2054
4354,2054
5576,2162
5231,2612
3053,3352
5231,5230
6039,5569
5966,5892
1832,1831
1828,1839
1842,1841
2784,1841
2785,1841
1844,1843
4514,1865
5953,1918
5992,1925
1945,1957
1953,1957
2030,1957
2287,1957
2337,1957
3012,1959
2230,1960
6098,1974
1860,1984
1923,1984
2433,1984
2500,1984
2059,1988
2367,1988
2525,1988
2621,1988
1877,2008
2525,2031
2033,2032
2634,2032
2037,2036
2038,2036
1832,2040
2033,2040
2082,2040
2349,2040
5958,2052
3372,2057
5231,2067
2611,2067
2612,2067
5230,2067
2082,2081
2106,2105
2108,2107
5112,2115
3495,2117
2160,2127
2558,2127
2150,2149
5329,2159
2185,2184
2193,2192
5639,2198
5576,2201
2162,2201
2207,2206
3053,2209
3352,2209
5377,2209
3379,2216
2849,2234
3751,2277
1894,2294
5540,2295
6093,2308
4615,2321
3058,2354
2562,2386
2392,2391
2401,2431
5763,2435
3198,2438
5794,2454
3030,2464
5807,2465
2474,2473
2475,2473
2481,2480
4037,2484
3864,2520
2532,2531
2125,2559
4170,2572
2118,2577
2596,2577
2582,2581
2584,2583
5611,2589
4205,2606
4206,2606
5211,2700
5228,2714
2769,2768
5387,2809
5404,2823
4490,2835
2849,2848
2230,2869
1922,2881
4573,2925
2928,2927
2276,2934
5228,2978
6039,2995
5569,2995
5179,3003
5433,3015
2593,3023
3045,3044
3047,3046
2349,3054
5628,3055
5378,3066
5639,3072
3424,3075
3154,3153
5483,3165
3013,3175
5755,3179
3202,3201
3207,3206
4775,3206
3212,3211
5784,3223
4055,3271
3283,3282
2298,3299
2917,3307
4956,3317
3344,3343
2787,3367
5989,3370
5034,3371
5039,3373
3418,3417
6073,3429
2171,3449
5177,3472
3487,3486
5941,3498
4721,3512
4856,3512
3535,3534
5576,3567
2162,3567
5357,3600
2863,3678
3570,3693
6031,3870
3901,3900
5674,3906
3182,3962
4012,4011
3667,4124
4145,4144
4990,4144
3496,4210
4306,4305
4330,4439
4206,4457
4737,4513
4636,4635
1817,4648
4744,4743
4811,4810
4813,4812
5550,4922
4960,4959
2562,5006
2563,5006
5953,5006
2099,5176
5239,5238
2765,5338
3605,5359
3535,5361
3609,5366
5327,5461
5543,5528
