,,,,,,,,,
,"The list contatins all the multi-character words that are included into Hanyu Shuiping Kaoshi 3.0 (post-2021), a total of 9433 words, divided into nine bands by level and alphabetically within each of them.",,,,,,,,
,№,Word,,Meaning,Freq.,Encounters,Fraction of multi-character words,HSK 2.0,HSK 3.0
,Band 1,,,,,,,,
,1,爱好,ài hào,hobby,3775,366081,"0,004303%",3,1
,2,爸爸,bàba,dad,1003,1539349,"0,018092%",1,1
,3,白天,bái tiān,day,2410,606766,"0,007131%", ,1
,4,半年,bàn nián,half a year,1238,1230511,"0,014462%", ,1
,5,半天,bàn tiān,half day,2965,486846,"0,005722%", ,1
,6,帮忙,bāng máng,help,2027,745131,"0,008757%",3,1
,7,包子,bāo zi,bun,6665,180316,"0,002119%",4,1
,8,杯子,bēi zi,cup,6233,195418,"0,002297%",1,1
,9,北边,běi biān,North side,22997,32195,"0,000378%", ,1
,10,北京,běi jīng,Beijing,75,8540275,"0,100373%",1,1
,11,本子,běn zi,book,11582,87588,"0,001029%", ,1
,12,别的,bié de,other,—,—,—, ,1
,13,别人,bié·rén,other people,245,4535410,"0,053304%",3,1
,14,病人,bìng rén,patient,924,1659533,"0,019504%", ,1
,15,不大,bú dà,not big,1444,1043259,"0,012261%", ,1
,16,不对,bú duì,wrong,2224,669532,"0,007869%", ,1
,17,不客气,bú kè qì,You’re welcome,13403,71459,"0,000840%",1,1
,18,不用,bú yòng,No need to,724,2028991,"0,023847%", ,1
,19,常常,cháng cháng,often,1644,917398,"0,010782%", ,1
,20,唱歌,chàng gē,sing,2701,539200,"0,006337%",2,1
,21,车票,chē piào,ticket,5726,216479,"0,002544%", ,1
,22,车上,chē shàng,in the car,—,—,—, ,1
,23,车站,chē zhàn,station,3546,395451,"0,004648%", ,1
,24,吃饭,chī fàn,have meal,913,1669599,"0,019623%", ,1
,25,出来,chū lái,come,139,6185846,"0,072702%", ,1
,26,出去,chū qù,go out,748,1967909,"0,023129%", ,1
,27,打车,dǎ chē,take a taxi,—,—,—, ,1
,28,打电话,dǎ diàn huà,make a phonecall,1331,1138572,"0,013382%",1,1
,29,打开,dǎ kāi,turn on,1078,1431808,"0,016828%", ,1
,30,打球,dǎ qiú,play ball,5271,242224,"0,002847%", ,1
,31,大学,dà xué,university,518,2616716,"0,030754%", ,1
,32,大学生,dà xué shēng,university student,1404,1078582,"0,012676%", ,1
,33,得到,dé dào,get,133,6635451,"0,077986%", ,1
,34,地点,dìdiǎn,location,1443,1043964,"0,012270%",4,1
,35,地方,dìfang,local,151,5926648,"0,069655%",3,1
,36,地上,dì shàng,on the ground,1622,927693,"0,010903%", ,1
,37,地图,dìtú,Map,3425,413090,"0,004855%",3,1
